source,run_num,els,output,log_name,num_cases
model_specialized_gru_35-0.51.h5,7,0.616605395,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,8,0.674715948,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,9,0.651898025,outputs/20200805_185852128833,PurchasingExample,173
BPI_Challenge_2012_W_Two_TS_training.bpmn,0,0.533861092,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,1,0.579248445,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,2,0.572092644,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,3,0.560531411,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,4,0.56025208,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,5,0.56686006,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,6,0.567449326,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,7,0.578639519,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,8,0.595765786,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,9,0.569520077,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,0,0.560231051,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,1,0.545309694,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,2,0.558410674,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,3,0.5593405,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,4,0.559660438,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,5,0.561848977,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,6,0.55829189,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,7,0.557968824,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,8,0.54365999,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,9,0.541272218,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,0,0.403424289,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,1,0.391141284,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,2,0.396268843,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,3,0.398401624,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,4,0.39668482,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,5,0.400924902,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,6,0.401372799,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,7,0.396248507,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,8,0.397142764,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,9,0.398922611,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,0,0.498982876,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,1,0.4988613,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,2,0.48957624,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,3,0.486180839,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,4,0.486079368,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,5,0.485369789,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,6,0.499804065,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,7,0.507821328,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,8,0.494546609,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,9,0.494011639,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,0,0.619030753,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,1,0.478332303,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,2,0.478861256,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,3,0.470213355,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,4,0.473824864,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,5,0.484346855,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,6,0.516533358,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,7,0.465647464,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,8,0.481553335,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,9,0.486339616,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,0,0.540899146,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,1,0.543920873,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,2,0.537874944,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,3,0.543900648,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,4,0.536915163,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,5,0.543407513,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,6,0.536686011,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,7,0.537095407,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,8,0.555021722,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,9,0.530252358,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_gru_30-1.87.h5,0,0.391006573,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_gru_30-1.87.h5,1,0.484547995,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
